DisNo.,type_name
2004-0102-TUR,"Slide (land, mud, snow, rock)"
2004-0103-MDG,Flood
2004-0103-MDG,Transport accident
2004-0104-PNG,"Slide (land, mud, snow, rock)"
2004-0121-USA,Flood
2004-0121-USA,Transport accident
2004-0131-BRA,Surge
2004-0132-TUR,"Slide (land, mud, snow, rock)"
2004-0141-MEX,Broken Dam/Burst bank
2004-0147-TJK,"Slide (land, mud, snow, rock)"
2004-0150-FSM,Surge
2004-0153-FJI,Flood
2004-0153-FJI,"Slide (land, mud, snow, rock)"
2004-0156-PER,Flood
2004-0158-DJI,Rain
2004-0158-DJI,"Slide (land, mud, snow, rock)"
2004-0163-BIH,"Slide (land, mud, snow, rock)"
2004-0177-IDN,Transport accident
2004-0182-CHN,Hail
2004-0194-KEN,"Slide (land, mud, snow, rock)"
2004-0196-USA,Heat wave
2004-0200-PER,"Slide (land, mud, snow, rock)"
2004-0202-COL,"Slide (land, mud, snow, rock)"
2004-0214-CRI,Broken Dam/Burst bank
2004-0214-CRI,"Slide (land, mud, snow, rock)"
2004-0218-PHL,Rain
2004-0218-PHL,"Slide (land, mud, snow, rock)"
2004-0231-DOM,"Slide (land, mud, snow, rock)"
2004-0234-IRN,"Slide (land, mud, snow, rock)"
2004-0235-MMR,Flood
2004-0235-MMR,Surge
2004-0236-BRA,"Slide (land, mud, snow, rock)"
2004-0244-THA,Flood
2004-0244-THA,"Slide (land, mud, snow, rock)"
2004-0245-USA,Flood
2004-0245-USA,Hail
2004-0247-CHN,Broken Dam/Burst bank
2004-0249-USA,Flood
2004-0249-USA,Hail
2004-0257-ROU,Rain
2004-0257-ROU,"Slide (land, mud, snow, rock)"
2004-0258-THA,Flood
2004-0258-THA,Rain
2004-0266-RUS,Hail
2004-0276-JPN,Rain
2004-0276-JPN,"Slide (land, mud, snow, rock)"
2004-0276-KOR,Rain
2004-0284-CHN,"Slide (land, mud, snow, rock)"
2004-0286-BGD,Surge
2004-0289-NIC,Flood
2004-0292-CHN,Fire
2004-0294-FJI,"Slide (land, mud, snow, rock)"
2004-0298-BGD,Broken Dam/Burst bank
2004-0298-BGD,"Slide (land, mud, snow, rock)"
2004-0298-NPL,"Slide (land, mud, snow, rock)"
2004-0300-GMB,Rain
2004-0301-CHN,Hail
2004-0302-CHN,Rain
2004-0306-CHN,Rain
2004-0306-CHN,"Slide (land, mud, snow, rock)"
2004-0307-ARG,Rain
2004-0307-ARG,"Slide (land, mud, snow, rock)"
2004-0309-PHL,Flood
2004-0309-TWN,Flood
2004-0309-TWN,"Slide (land, mud, snow, rock)"
2004-0312-GUM,Flood
2004-0312-GUM,"Slide (land, mud, snow, rock)"
2004-0321-IND,"Slide (land, mud, snow, rock)"
2004-0325-CHN,"Slide (land, mud, snow, rock)"
2004-0331-ARG,Snow/ice
2004-0331-PER,Rain
2004-0331-PER,Snow/ice
2004-0336-ROU,"Slide (land, mud, snow, rock)"
2004-0338-USA,Flood
2004-0339-JPN,"Slide (land, mud, snow, rock)"
2004-0342-TJK,Pollution
2004-0342-TJK,"Slide (land, mud, snow, rock)"
2004-0346-CAN,Rain
2004-0348-USA,Heat wave
2004-0348-USA,Storm
2004-0349-AFG,"Slide (land, mud, snow, rock)"
2004-0354-VNM,"Slide (land, mud, snow, rock)"
2004-0365-ROU,"Slide (land, mud, snow, rock)"
2004-0369-SVK,"Slide (land, mud, snow, rock)"
2004-0372-CHN,Rain
2004-0381-KOR,"Slide (land, mud, snow, rock)"
2004-0383-PRT,Heat wave
2004-0394-ERI,Rain
2004-0401-GEO,"Slide (land, mud, snow, rock)"
2004-0404-NZL,"Slide (land, mud, snow, rock)"
2004-0415-CYM,Flood
2004-0415-JAM,Flood
2004-0415-USA,Transport accident
2004-0427-FRA,Rain
2004-0428-KOR,Flood
2004-0428-KOR,"Slide (land, mud, snow, rock)"
2004-0435-CHN,Flood
2004-0435-PHL,Flood
2004-0435-PHL,"Slide (land, mud, snow, rock)"
2004-0435-TWN,Flood
2004-0435-TWN,"Slide (land, mud, snow, rock)"
2004-0444-ROU,Rain
2004-0445-JPN,Flood
2004-0448-USA,Flood
2004-0454-RUS,Broken Dam/Burst bank
2004-0455-USA,Rain
2004-0457-CHN,"Slide (land, mud, snow, rock)"
2004-0459-JPN,Transport accident
2004-0459-RUS,Transport accident
2004-0462-BRB,Surge
2004-0462-CUB,"Slide (land, mud, snow, rock)"
2004-0462-CUB,Surge
2004-0462-HTI,Rain
2004-0462-JAM,"Slide (land, mud, snow, rock)"
2004-0462-JAM,Surge
2004-0462-USA,Flood
2004-0462-USA,"Slide (land, mud, snow, rock)"
2004-0468-TWN,Rain
2004-0468-TWN,"Slide (land, mud, snow, rock)"
2004-0470-BGD,Broken Dam/Burst bank
2004-0473-BHS,Flood
2004-0473-BHS,Surge
2004-0473-DOM,Flood
2004-0473-DOM,Surge
2004-0473-HTI,Flood
2004-0473-HTI,"Slide (land, mud, snow, rock)"
2004-0473-PRI,Rain
2004-0476-PAN,"Slide (land, mud, snow, rock)"
2004-0492-JPN,Rain
2004-0492-JPN,"Slide (land, mud, snow, rock)"
2004-0509-BGD,Rain
2004-0509-IND,Rain
2004-0509-IND,"Slide (land, mud, snow, rock)"
2004-0511-JPN,Flood
2004-0520-COL,"Slide (land, mud, snow, rock)"
2004-0524-JPN,Flood
2004-0524-JPN,"Slide (land, mud, snow, rock)"
2004-0532-JPN,Fire
2004-0532-JPN,"Slide (land, mud, snow, rock)"
2004-0535-TWN,Flood
2004-0556-CRI,"Slide (land, mud, snow, rock)"
2004-0562-IDN,"Slide (land, mud, snow, rock)"
2004-0568-ITA,Flood
2004-0568-ITA,"Slide (land, mud, snow, rock)"
2004-0580-PHL,"Slide (land, mud, snow, rock)"
2004-0580-VNM,Flood
2004-0580-VNM,"Slide (land, mud, snow, rock)"
2004-0589-AUS,Flood
2004-0589-AUS,Hail
2004-0590-MYS,Flood
2004-0590-MYS,"Slide (land, mud, snow, rock)"
2004-0596-IRL,Flood
2004-0599-CRI,"Slide (land, mud, snow, rock)"
2004-0600-TUR,Flood
2004-0602-PHL,Flood
2004-0602-PHL,"Slide (land, mud, snow, rock)"
2004-0607-IDN,Fire
2004-0609-PHL,Flood
